iter	RMSE
0	9.232272865
1	9.15190108
2	9.082851954
3	9.027264094
4	8.98116751
5	8.939783696
6	8.908129186
7	8.878926149
8	8.854270313
9	8.832951475
10	8.816207671
11	8.800799537
12	8.787684931
13	8.776778365
14	8.76689648
15	8.758362435
16	8.751572363
17	8.745961582
18	8.740455245
19	8.734793365
20	8.729895552
21	8.726103952
22	8.723298834
23	8.720111969
24	8.717372018
25	8.714710338
26	8.712278901
27	8.710433138
28	8.709195454
29	8.707470665
30	8.705618264
31	8.704186493
32	8.702821781
33	8.701650776
34	8.700693446
35	8.699675987
36	8.698887385
37	8.696886823
38	8.696175521
39	8.695413515
40	8.694756347
41	8.693628327
42	8.692678356
43	8.692232059
44	8.691768403
45	8.690951844
46	8.690406216
47	8.689905099
48	8.689520064
49	8.688955066
50	8.687183847
51	8.686169406
52	8.684815963
53	8.684198524
54	8.683505744
55	8.682556035
56	8.68217375
57	8.680795984
58	8.679696942
59	8.679290011
60	8.678875803
61	8.677592573
62	8.6769948
63	8.676460828
64	8.676075112
65	8.675883066
66	8.675076412
67	8.674709899
68	8.674379148
69	8.674080504
70	8.67358471
71	8.673260493
72	8.672819231
73	8.672542346
74	8.671921311
75	8.671318591
76	8.670926884
77	8.669717845
78	8.669623016
79	8.669058322
80	8.668437292
81	8.668304857
82	8.667537466
83	8.667080552
84	8.666816474
85	8.66637828
86	8.665715607
87	8.665210556
88	8.664978729
89	8.663602458
90	8.663062038
91	8.662956413
92	8.662818469
93	8.662384196
94	8.661959439
95	8.661821771
96	8.661578718
97	8.661347762
98	8.660957252
99	8.660655274
100	8.660463541
101	8.659901662
102	8.659648266
103	8.659347547
104	8.659180767
105	8.658817021
106	8.658646526
107	8.658115425
108	8.657839618
109	8.657538807
110	8.657324383
111	8.657127995
112	8.656769842
113	8.656485764
114	8.656040189
115	8.655780383
116	8.655299274
117	8.654778777
118	8.654291702
119	8.653703017
120	8.653288977
121	8.652766675
122	8.652543716
123	8.652184826
124	8.651978345
125	8.651232369
126	8.650806991
127	8.650411671
128	8.650081994
129	8.649721911
130	8.649521652
131	8.648904522
132	8.6484731
133	8.648086748
134	8.64776315
135	8.647472419
136	8.647105178
137	8.646756505
138	8.646376227
139	8.646028436
140	8.64574621
141	8.645574175
142	8.645266029
143	8.644752411
144	8.644468629
145	8.644158653
146	8.644029789
147	8.643660112
148	8.643268903
149	8.642986887
150	8.64263224
151	8.642405736
152	8.642226416
153	8.641923044
154	8.641536629
155	8.64136428
156	8.641010478
157	8.640759327
158	8.640628679
159	8.640375679
160	8.640055259
161	8.639900745
162	8.639715637
163	8.639419101
164	8.639265693
165	8.63878183
166	8.638486698
167	8.638251534
168	8.637937704
169	8.637640208
170	8.637148451
171	8.636950073
172	8.6366703
173	8.636357221
174	8.636006332
175	8.635741908
176	8.635583672
177	8.635381667
178	8.63518655
179	8.634816095
180	8.634565988
181	8.633991717
182	8.633802333
183	8.633422329
184	8.633070474
185	8.632857958
186	8.632702884
187	8.632417005
188	8.632186045
189	8.631968792
190	8.631808998
191	8.631578813
192	8.631337229
193	8.631091977
194	8.630903076
195	8.630649084
196	8.630537845
197	8.630274037
198	8.630055192
199	8.629887802
200	8.629619355
201	8.629384521
202	8.629116315
203	8.62877997
204	8.628573575
205	8.628273739
206	8.627837892
207	8.627670646
208	8.627487495
209	8.627266456
210	8.627055269
211	8.626962193
212	8.626527156
213	8.626372315
214	8.62616733
215	8.625993928
216	8.625825275
217	8.625476961
218	8.62523744
219	8.625032858
220	8.624880071
221	8.624816517
222	8.624681408
223	8.624452686
224	8.624209334
225	8.624058727
226	8.623929144
227	8.623678099
228	8.623489442
229	8.62324223
230	8.623001474
231	8.622686668
232	8.62249194
233	8.6223556
234	8.622196472
235	8.62202766
236	8.621710635
237	8.621521814
238	8.621393673
239	8.621204483
240	8.620977922
241	8.620868806
242	8.620688089
243	8.620535896
244	8.620327791
245	8.620059935
246	8.619918211
247	8.619794605
248	8.619573647
249	8.619443897
250	8.619280142
251	8.619132119
252	8.618862467
253	8.618730102
254	8.618593996
255	8.618483653
256	8.618269452
257	8.618096621
258	8.617841808
259	8.6176397
260	8.617441352
261	8.617242296
262	8.61706676
263	8.616936944
264	8.616740025
265	8.616538295
266	8.616395975
267	8.616284376
268	8.616093619
269	8.615796457
270	8.615643892
271	8.615345612
272	8.615087119
273	8.614978227
274	8.614776299
275	8.614518357
276	8.614425634
277	8.614247896
278	8.61410244
279	8.61391162
280	8.613700655
281	8.613500804
282	8.613317508
283	8.613139902
284	8.613035481
285	8.612784741
286	8.612573163
287	8.612449656
288	8.612308785
289	8.61214891
290	8.612041941
291	8.611985936
292	8.611760443
293	8.61163247
